Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
13543608868,"Feb 5, 2025, 2:27:23 AM",Evening Run,Run,,1486,5,166,14,FALSE,,HOKA Mach 5 ❄️,activities/14448808220.fit.gz,,,1486,1479,5005.2,4.42,3.384,0,0,0,0,0,0,,,,,166,150,,,297,,,14,,,,,,,,,,,,,0,,1,5018.5,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,3.368,0,,,,4190,,,,,,,,,,,,,
13543608987,"Feb 4, 2025, 2:54:23 AM",Evening Run,Run,,1329,4.01,168,12,FALSE,,HOKA Mach 5 ❄️,activities/14448808356.fit.gz,,,1329,1213,4013.7,4.1,3.309,0,0,0,0,0,0,,,,,168,146,,,237,,,12,,,,,,,,,,,,,0,,1,4179.9,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,3.02,0,,,,3622,,,,,,,,,,,,,
13568820674,"Feb 8, 2025, 2:04:20 AM",Evening Run,Run,,1545,5.01,175,20,FALSE,,HOKA Mach 5 ❄️,activities/14476440822.fit.gz,,,1545,1485,5015.3,4.12,3.377,0,0,0,0,0,0,,,,,175,152,,,299,,,20,,,,,,,,,,,,,0,,1,5115.3,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,3.246,0,,,,4326,,,,,,,,,,,,,
13595712937,"Feb 11, 2025, 2:20:10 AM",Evening Run,Run,,1573,5.02,172,17,FALSE,,HOKA Mach 5 ❄️,activities/14505943778.fit.gz,,,1573,1494,5022.7,4.18,3.362,0,0,0,0,0,0,,,,,172,148,,,294,,,17,,,,,,,,,,,,,0,,1,5144.2,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,3.193,0,,,,4448,,,,,,,,,,,,,
13605841614,"Feb 12, 2025, 1:39:26 AM",Afternoon Run,Run,,1529,5.02,172,15,FALSE,,HOKA Mach 5 ❄️,activities/14516990617.fit.gz,,,1529,1474,5019.6,4.8,3.405,0,0,0,0,0,0,,,,,172,144,,,296,,,15,,,,,,,,,,,,,0,,1,5020.1,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,3.283,0,,,,4212,,,,,,,,,,,,,
13621865189,"Feb 14, 2025, 1:43:22 AM",Afternoon Run,Run,,1868,6.01,175,31,FALSE,,HOKA Mach 5 ❄️,activities/14534439936.fit.gz,,,1868,1772,6010.4,4.08,3.392,0,0,0,0,0,0,,,,,175,155,,,353,,,31,,,,,,,,,,,,,0,,1,6076.8,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,3.218,0,,,,5194,,,,,,,,,,,,,
13638174922,"Feb 16, 2025, 12:33:43 AM",Afternoon Walk,Walk,,2184,2.46,106,3,FALSE,,,activities/14552392580.fit.gz,,,2184,1903,2461.8,2.688,1.294,7.8,40.4,15.8,56.2,10.5,-1.4,,,,,106,91,,,141,,,3,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.127,0,,,,2638,,,,,,,,,,,,,
13675444605,"Feb 20, 2025, 2:55:06 AM",Evening Run,Run,,1190,4.04,168,12,FALSE,,HOKA Mach 5 ❄️,activities/14593150665.fit.gz,,,1190,1190,4042.6,4.08,3.397,0,0,0,0,0,0,,,,,168,149,,,238,,,12,,,,,,,,,,,,,0,,1,4040.5,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,3.397,0,,,,3400,,,,,,,,,,,,,
13675444873,"Feb 17, 2025, 4:10:02 AM",Evening Walk,Walk,,1860,1.43,107,2,FALSE,,,activities/14593150774.fit.gz,,,1860,1106,1435.8,2.825,1.298,0,11.6,14.6,26.2,2,-0.8,,,,,107,95,,,77,,,2,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.772,0,,,,1064,,,,,,,,,,,,,
13675445097,"Feb 16, 2025, 8:39:27 PM",Lunch Walk,Walk,,5105,0.95,119,1,FALSE,,,activities/14593150810.fit.gz,,,5105,774,953.3,2.287,1.232,18.6,26.4,19,40.2,27.3,-0.9,,,,,119,95,,,113,,,1,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.187,0,,,,968,,,,,,,,,,,,,
13700514179,"Feb 23, 2025, 12:56:17 AM",Afternoon Run,Run,"first road run of 2025

I have a love-hate relationship with road running fr",1893,6.06,182,44,FALSE,,HOKA Mach 5 ❄️,activities/14620614986.fit.gz,,,1893,1782,6068.6,5.12,3.405,14,12.6,16.8,28.6,8.2,0,,,,,182,168,,233,358,,,44,,,,,,,,,224,1894,0,,0,,1,6148,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,3.206,0,,,,5124,,,121,152,3.45,,,,,,,,media/E2F31557-C85A-44A2-B0F5-5C389B8DF304.jpg
13719535930,"Feb 25, 2025, 3:13:11 AM",Evening Run,Run,,648,2.14,178,12,FALSE,,HOKA Mach 5 ❄️,activities/14641292859.fit.gz,,,648,629,2141.3,4.36,3.404,4.4,2.8,24,28.4,3.8,0.1,,,,,178,163,,231,125,,,12,,,,,,,,,224,644,,,0,,1,2163.8,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,3.305,0,,,,1808,,,41,152,3.44,,,,,,,,
13738175248,"Feb 27, 2025, 2:16:34 AM",Evening Run,Run,,2570,6.26,210,36,FALSE,,HOKA Mach 5 ❄️,activities/14661488685.fit.gz,,,2570,1835,6260.4,9.033,3.412,17.2,15.8,16.2,28.6,7.5,0,,,,,210,161,,234,367,,,36,,,,,,,,,204,2469,,,0,,1,6723.1,,,,,,,,,,,,,,,,16340605,,,,,,,,,,0,2.436,0,,,,5760,,,132,139,3.664,,,,,,,,
